agog, neve
agua, neon
arar, nana
arca, nain
army, nabk
aula, noun
camp, inby
coca, ivin
cora, ivan
eggy, week
eric, wali
erik, walt
ezra, whan
flag, rune
flak, runt
fray, rank
frog, rave
fuci, roil
fulk, rout
gaut, enos
gora, evan
grog, eave
hura, joan
juju, gogo
jump, goby
jura, goan
juri, goal
keck, twit
krag, tane
kris, talc
kuku, toto
kung, tope
lack, unit
lari, unal
liar, ulna
lori, uval
mira, blan
mire, blaw
mirk, blat
muir, bola
mule, bouw
mulk, bout
murk, boat
muta, bosn
mutt, boss
niue, plow
orca, vain
pray, yank
prep, yawy
prig, yale
prim, yalb
puli, youl
rage, anew
reap, awny
rick, alit
rori, aval
roue, avow
scog, cive
sick, clit
sign, clep
sire, claw
slop, cuvy
suku, coto
sung, cope
sunk, copt
sura, coan
susu, coco
tare, snaw
tarn, snap
taum, snob
taun, snop
tera, swan
term, swab
tern, swap
terp, sway
teuk, swot
tick, slit
tige, slew
tire, slaw
tora, svan
trag, sane
tray, sank
trek, sawt
trig, sale
trin, salp
trix, salm
trog, save
tufa, sorn
tung, sope
turf, soar
turn, soap
tutu, soso
tyre, skaw
vuln, doup
wick, flit
wire, flaw
wiry, flak
wrap, fany
yarm, knab
yarn, knap
yutu, koso
zuza, hohn
alit, rick
anew, rage
aval, rori
avow, roue
awny, reap
blan, mira
blat, mirk
blaw, mire
boat, murk
bola, muir
bosn, muta
boss, mutt
bout, mulk
bouw, mule
cive, scog
claw, sire
clep, sign
clit, sick
coan, sura
coco, susu
cope, sung
copt, sunk
coto, suku
cuvy, slop
doup, vuln
eave, grog
enos, gaut
evan, gora
fany, wrap
flak, wiry
flaw, wire
flit, wick
goal, juri
goan, jura
goby, jump
gogo, juju
hohn, zuza
inby, camp
ivan, cora
ivin, coca
joan, hura
knab, yarm
knap, yarn
koso, yutu
nabk, army
nain, arca
nana, arar
neon, agua
neve, agog
noun, aula
plow, niue
rank, fray
rave, frog
roil, fuci
rout, fulk
rune, flag
runt, flak
sale, trig
salm, trix
salp, trin
sane, trag
sank, tray
save, trog
sawt, trek
skaw, tyre
slaw, tire
slew, tige
slit, tick
snap, tarn
snaw, tare
snob, taum
snop, taun
soap, turn
soar, turf
sope, tung
sorn, tufa
soso, tutu
svan, tora
swab, term
swan, tera
swap, tern
sway, terp
swot, teuk
talc, kris
tane, krag
tope, kung
toto, kuku
twit, keck
ulna, liar
unal, lari
unit, lack
uval, lori
vain, orca
wali, eric
walt, erik
week, eggy
whan, ezra
yalb, prim
yale, prig
yank, pray
yawy, prep
youl, puli
